Índice;Release Date;Movie;Production Budget;Domestic Gross;Worldwide Gross
0;12/18/2009;Avatar;$425.000.000;$760.507.625;$2.783.918.982
1;5/20/2011;Pirates of the Caribbean: On Stranger Tides;$410.600.000;$241.063.875;$1.045.663.875
2;5/1/2015;Avengers: Age of Ultron;$330.600.000;$459.005.868;$1.408.218.722
3;12/18/2015;Star Wars Ep. VII: The Force Awakens;$306.000.000;$936.662.225;$2.058.662.225
4;5/24/2007;Pirates of the Caribbean: At World’s End;$300.000.000;$309.420.425;$963.420.425
5;11/6/2015;Spectre;$300.000.000;$200.074.175;$879.620.923
6;7/20/2012;The Dark Knight Rises;$275.000.000;$448.139.099;$1.084.439.099
7;7/2/2013;The Lone Ranger;$275.000.000;$89.302.115;$260.002.115
8;3/9/2012;John Carter;$275.000.000;$73.058.679;$282.778.100
9;11/24/2010;Tangled;$260.000.000;$200.821.936;$586.581.936
10;5/4/2007;Spider,Man 3;$258.000.000;$336.530.303;$894.860.230
11;5/6/2016;Captain America: Civil War;$250.000.000;$408.084.349;$1.153.304.495
12;3/25/2016;Batman v Superman: Dawn of Justice;$250.000.000;$330.360.194;$868.160.194
13;12/14/2012;The Hobbit: An Unexpected Journey;$250.000.000;$303.003.568;$1.017.003.568
14;7/15/2009;Harry Potter and the Half,Blood Prince;$250.000.000;$301.959.197;$935.083.686
15;12/13/2013;The Hobbit: The Desolation of Smaug;$250.000.000;$258.366.855;$960.366.855
16;12/17/2014;The Hobbit: The Battle of the Five Armies;$250.000.000;$255.119.788;$955.119.788
17;4/14/2017;The Fate of the Furious;$250.000.000;$225.764.765;$1.237.444.462
18;6/28/2006;Superman Returns;$232.000.000;$200.120.000;$374.085.065
19;5/26/2017;Pirates of the Caribbean: Dead Men Tell No Tales;$230.000.000;$172.558.876;$784.610.092
20;11/14/2008;Quantum of Solace;$230.000.000;$169.368.427;$591.692.078
21;5/4/2012;The Avengers;$225.000.000;$623.279.547;$1.519.479.547
22;7/7/2006;Pirates of the Caribbean: Dead Man’s Chest;$225.000.000;$423.315.812;$1.066.215.812
23;6/14/2013;Man of Steel;$225.000.000;$291.045.518;$667.999.518
24;5/16/2008;The Chronicles of Narnia: Prince Caspian;$225.000.000;$141.621.490;$417.341.288
25;7/3/2012;The Amazing Spider,Man;$220.000.000;$262.030.663;$757.890.267
26;6/21/2017;Transformers: The Last Knight;$217.000.000;$130.168.683;$603.968.683
27;6/12/2015;Jurassic World;$215.000.000;$652.198.010;$1.671.640.593
28;5/25/2012;Men in Black 3;$215.000.000;$179.020.854;$654.213.485
29;6/24/2009;Transformers: Revenge of the Fallen;$210.000.000;$402.111.870;$836.519.699
30;6/27/2014;Transformers: Age of Extinction;$210.000.000;$245.439.076;$1.104.039.076
31;5/26/2006;X,Men: The Last Stand;$210.000.000;$234.362.462;$459.260.946
32;5/14/2010;Robin Hood;$210.000.000;$105.269.730;$322.241.588
33;5/18/2012;Battleship;$209.000.000;$65.233.400;$305.218.228
34;12/14/2005;King Kong;$207.000.000;$218.080.025;$550.517.357
35;12/7/2007;The Golden Compass;$205.000.000;$70.107.728;$367.262.558
36;12/19/1997;Titanic;$200.000.000;$658.672.302;$2.207.615.668
37;12/16/2016;Rogue One: A Star Wars Story;$200.000.000;$532.177.324;$1.050.988.488
38;6/17/2016;Finding Dory;$200.000.000;$486.295.561;$1.022.617.376
39;6/18/2010;Toy Story 3;$200.000.000;$415.004.880;$1.069.818.229
40;5/3/2013;Iron Man 3;$200.000.000;$408.992.272;$1.215.392.272
41;5/5/2017;Guardians of the Galaxy Vol 2;$200.000.000;$389.813.101;$860.477.263
42;6/30/2004;Spider,Man 2;$200.000.000;$373.524.485;$795.110.670
43;3/5/2010;Alice in Wonderland;$200.000.000;$334.191.110;$1.025.491.110
44;11/8/2012;Skyfall;$200.000.000;$304.360.277;$1.110.526.981
45;6/21/2013;Monsters University;$200.000.000;$268.488.329;$743.588.329
46;3/8/2013;Oz the Great and Powerful;$200.000.000;$234.770.996;$490.359.051
47;5/23/2014;X,Men: Days of Future Past;$200.000.000;$233.921.534;$747.862.775
48;5/2/2014;The Amazing Spider,Man 2;$200.000.000;$202.853.933;$708.996.336
49;6/24/2011;Cars 2;$200.000.000;$191.450.875;$560.155.383
50;12/17/2010;Tron: Legacy;$200.000.000;$172.062.763;$400.062.763
51;11/13/2009;2012;$200.000.000;$166.112.167;$788.408.539
52;5/21/2009;Terminator Salvation;$200.000.000;$125.322.469;$365.491.792
53;6/17/2011;Green Lantern;$200.000.000;$116.601.172;$219.535.492
54;5/28/2010;Prince of Persia: Sands of Time;$200.000.000;$90.759.676;$314.594.597
55;6/29/2011;Transformers: Dark of the Moon;$195.000.000;$352.390.543;$1.123.790.543
56;6/9/2017;The Mummy;$195.000.000;$80.101.125;$409.076.392
57;3/1/2013;Jack the Giant Slayer;$195.000.000;$65.187.603;$197.687.603
58;4/3/2015;Furious 7;$190.000.000;$351.032.910;$1.516.748.684
59;5/16/2013;Star Trek Into Darkness;$190.000.000;$228.778.661;$467.381.584
60;6/21/2013;World War Z;$190.000.000;$202.359.711;$531.514.650
61;5/10/2013;The Great Gatsby;$190.000.000;$144.840.419;$351.040.419
62;11/6/2009;Disney's A Christmas Carol;$190.000.000;$137.855.863;$315.709.697
63;7/12/2013;Pacific Rim;$190.000.000;$101.802.906;$411.002.906
64;11/25/2015;The Good Dinosaur;$187.500.000;$123.087.120;$334.342.692
65;5/2/2008;Iron Man;$186.000.000;$318.604.126;$585.171.547
66;7/18/2008;The Dark Knight;$185.000.000;$533.345.358;$1.001.620.618
67;5/22/2008;Indiana Jones and the Kingdom of the Crystal Skull;$185.000.000;$317.023.851;$786.558.145
68;6/22/2012;Brave;$185.000.000;$237.282.182;$554.606.532
69;3/10/2017;Kong: Skull Island;$185.000.000;$168.052.812;$561.137.727
70;7/22/2016;Star Trek Beyond;$185.000.000;$158.848.340;$336.398.312
71;10/6/2017;Blade Runner 2049;$185.000.000;$85.456.130;$229.159.894
72;12/9/2005;The Chronicles of Narnia: The Lion, the Witch and the Wardrobe;$180.000.000;$291.710.957;$720.539.572
73;5/30/2014;Maleficent;$180.000.000;$241.407.328;$758.536.735
74;11/18/2016;Fantastic Beasts and Where to Find Them;$180.000.000;$234.037.575;$803.798.342
75;6/27/2008;WALL,E;$180.000.000;$223.808.164;$532.590.994
76;8/10/2007;Rush Hour 3;$180.000.000;$140.125.968;$256.585.882
77;7/1/2016;The Legend of Tarzan;$180.000.000;$126.643.061;$349.143.061
78;11/3/2017;Thor: Ragnarok;$180.000.000;$121.005.000;$427.005.000
79;11/23/2011;Hugo;$180.000.000;$73.864.507;$180.047.784
80;7/21/2017;Valerian and the City of a Thousand Planets;$180.000.000;$40.479.370;$215.116.144
81;2/6/2015;Jupiter Ascending;$179.000.000;$47.482.519;$181.982.519
82;5/27/2016;X,Men: Apocalypse;$178.000.000;$155.442.489;$542.742.489
83;6/6/2014;Edge of Tomorrow;$178.000.000;$100.206.256;$370.541.256
84;4/15/2016;The Jungle Book;$175.000.000;$364.001.123;$963.901.123
85;6/19/2015;Inside Out;$175.000.000;$356.461.711;$853.707.581
86;7/7/2017;Spider,Man: Homecoming;$175.000.000;$333.919.623;$879.380.251
87;8/5/2016;Suicide Squad;$175.000.000;$325.100.054;$746.100.054
88;5/29/2009;Up;$175.000.000;$293.004.164;$731.542.621
89;3/27/2009;Monsters vs. Aliens;$175.000.000;$198.351.526;$381.687.380
90;8/7/2009;G.I. Joe: The Rise of Cobra;$175.000.000;$150.201.498;$302.469.017
91;6/30/1999;Wild Wild West;$175.000.000;$113.805.681;$221.229.335
92;8/1/2008;The Mummy: Tomb of the Dragon Emperor;$175.000.000;$102.491.776;$405.760.225
93;6/22/2007;Evan Almighty;$175.000.000;$100.289.690;$174.131.329
94;7/28/1995;Waterworld;$175.000.000;$88.246.220;$264.246.220
95;5/12/2017;King Arthur: Legend of the Sword;$175.000.000;$39.175.066;$140.012.608
96;12/25/2013;47 Ronin;$175.000.000;$38.362.475;$151.716.815
97;12/31/2020;Singularity;$175.000.000;$0;$0
98;8/1/2014;Guardians of the Galaxy;$170.000.000;$333.172.112;$771.051.335
99;5/7/2010;Iron Man 2;$170.000.000;$312.433.331;$621.156.389
100;4/4/2014;Captain America: The Winter Soldier;$170.000.000;$259.746.958;$714.401.889
101;7/11/2014;Dawn of the Planet of the Apes;$170.000.000;$208.545.589;$710.644.566
102;11/10/2004;The Polar Express;$170.000.000;$194.949.659;$319.090.241
103;6/1/2012;Snow White and the Huntsman;$170.000.000;$155.136.755;$401.021.746
104;7/1/2003;Terminator 3: Rise of the Machines;$170.000.000;$150.358.296;$433.058.296
105;5/7/2004;Van Helsing;$170.000.000;$120.150.546;$300.150.546
106;5/22/2015;Tomorrowland;$170.000.000;$93.436.322;$207.283.457
107;5/27/2016;Alice Through the Looking Glass;$170.000.000;$77.042.381;$277.442.381
108;5/21/2010;Shrek Forever After;$165.000.000;$238.736.787;$756.244.673
109;11/4/2016;Doctor Strange;$165.000.000;$232.641.920;$677.541.920
110;11/7/2014;Big Hero 6;$165.000.000;$222.527.828;$652.127.828
111;3/26/2010;How to Train Your Dragon;$165.000.000;$217.581.231;$494.870.991
112;11/2/2012;Wreck,It Ralph;$165.000.000;$189.412.677;$496.511.521
113;11/5/2014;Interstellar;$165.000.000;$188.017.894;$667.752.422
114;6/24/2016;Independence Day: Resurgence;$165.000.000;$103.144.286;$387.644.286
115;7/29/2011;Cowboys and Aliens;$163.000.000;$100.240.551;$175.910.315
116;3/17/2017;Beauty and the Beast;$160.000.000;$504.014.165;$1.257.523.876
117;5/17/2007;Shrek the Third;$160.000.000;$322.719.944;$807.330.936
118;7/16/2010;Inception;$160.000.000;$292.576.195;$832.402.082
119;11/20/2015;The Hunger Games: Mockingjay , Part 2;$160.000.000;$281.723.902;$650.523.427
120;5/24/2013;Fast and Furious 6;$160.000.000;$238.679.850;$789.300.444
121;5/16/2014;Godzilla;$160.000.000;$200.676.069;$529.076.069
122;6/3/2011;X,Men: First Class;$160.000.000;$146.408.305;$355.408.305
123;12/25/2008;The Curious Case of Benjamin Button;$160.000.000;$127.509.326;$329.809.326
124;7/14/2010;The Sorcerer's Apprentice;$160.000.000;$63.150.991;$217.986.320
125;5/12/2006;Poseidon;$160.000.000;$60.674.817;$181.674.817
126;6/10/2016;Warcraft;$160.000.000;$47.225.655;$433.125.655
127;12/18/2018;Aquaman;$160.000.000;$0;$0
128;9/30/2016;Deepwater Horizon;$156.000.000;$61.433.527;$122.931.214
129;12/10/2010;The Chronicles of Narnia: The Voyage of the Dawn Treader;$155.000.000;$104.386.950;$418.186.950
130;7/1/2015;Terminator: Genisys;$155.000.000;$89.760.956;$440.160.956
131;11/24/2004;Alexander;$155.000.000;$34.297.191;$167.297.191
132;7/14/2017;War for the Planet of the Apes;$152.000.000;$146.808.950;$490.208.950
133;5/25/2001;Pearl Harbor;$151.500.000;$198.539.855;$449.239.855
134;7/2/2007;Transformers;$151.000.000;$319.246.193;$708.272.592
135;6/2/2017;Wonder Woman;$150.000.000;$412.550.942;$817.000.349
136;11/22/2013;Frozen;$150.000.000;$400.738.009;$1.274.234.980
137;3/4/2016;Zootopia;$150.000.000;$341.268.248;$1.019.920.974
138;7/11/2007;Harry Potter and the Order of the Phoenix;$150.000.000;$292.004.738;$942.943.935
139;11/18/2005;Harry Potter and the Goblet of Fire;$150.000.000;$290.013.036;$896.911.078
140;5/15/2003;The Matrix Reloaded;$150.000.000;$281.553.689;$738.576.929
141;12/14/2007;I am Legend;$150.000.000;$256.393.010;$585.532.684
142;11/23/2016;Moana;$150.000.000;$248.757.044;$639.537.208
143;7/1/2008;Hancock;$150.000.000;$227.946.274;$624.234.272
144;7/15/2005;Charlie and the Chocolate Factory;$150.000.000;$206.459.076;$475.825.484
145;6/29/2007;Ratatouille;$150.000.000;$206.445.654;$626.549.695
146;11/8/2013;Thor: The Dark World;$150.000.000;$206.362.140;$644.602.516
147;6/15/2005;Batman Begins;$150.000.000;$205.343.774;$359.142.722
148;7/31/2015;Mission: Impossible—Rogue Nation;$150.000.000;$195.042.377;$700.868.363
149;7/21/2017;Dunkirk;$150.000.000;$187.880.461;$505.700.220
150;5/6/2011;Thor;$150.000.000;$181.030.624;$449.326.618
151;11/7/2008;Madagascar: Escape 2 Africa;$150.000.000;$180.010.950;$599.516.844
152;5/1/2009;X,Men Origins: Wolverine;$150.000.000;$179.883.157;$374.825.760
153;5/22/2009;Night at the Museum: Battle of the Smithsonian;$150.000.000;$177.243.721;$402.231.063
154;5/26/2011;Kung Fu Panda 2;$150.000.000;$165.249.063;$664.837.547
155;5/15/2015;Mad Max: Fury Road;$150.000.000;$153.636.354;$370.742.166
156;11/5/2003;The Matrix Revolutions;$150.000.000;$139.270.910;$427.300.260
157;5/5/2006;Mission: Impossible III;$150.000.000;$133.501.348;$397.501.348
158;5/15/2009;Angels & Demons;$150.000.000;$133.375.846;$490.875.846
159;5/14/2004;Troy;$150.000.000;$133.298.577;$484.161.265
160;7/1/2010;The Last Airbender;$150.000.000;$131.772.187;$319.713.881
161;11/2/2007;Bee Movie;$150.000.000;$126.631.277;$287.594.577
162;7/24/2009;G,Force;$150.000.000;$119.436.770;$292.817.841
163;11/21/2008;Bolt;$150.000.000;$114.053.579;$328.015.029
164;3/30/2012;Wrath of the Titans;$150.000.000;$83.670.083;$305.270.083
165;11/16/2007;Beowulf;$150.000.000;$82.195.215;$194.995.215
166;5/11/2012;Dark Shadows;$150.000.000;$79.727.149;$238.202.668
167;6/28/2013;White House Down;$150.000.000;$73.103.784;$205.440.387
168;2/12/2010;The Wolfman;$150.000.000;$62.189.884;$142.634.358
169;2/17/2017;The Great Wall;$150.000.000;$45.157.105;$334.550.106
170;10/9/2015;Pan;$150.000.000;$35.088.320;$151.550.856
171;3/11/2011;Mars Needs Moms;$150.000.000;$21.392.758;$39.549.758
172;11/3/2006;Flushed Away;$149.000.000;$64.665.672;$179.357.126
173;6/8/2012;Madagascar 3: Europe's Most Wanted;$145.000.000;$216.391.482;$746.921.271
174;12/16/2011;Mission: Impossible—Ghost Protocol;$145.000.000;$209.397.903;$694.713.230
175;6/13/2014;How to Train Your Dragon 2;$145.000.000;$177.002.924;$614.586.270
176;6/16/1999;Tarzan;$145.000.000;$171.091.819;$448.191.819
177;3/7/2014;Mr. Peabody & Sherman;$145.000.000;$111.506.430;$269.806.430
178;11/21/2012;Rise of the Guardians;$145.000.000;$103.412.758;$306.900.902
179;4/8/2005;Sahara;$145.000.000;$68.671.925;$121.671.925
180;7/15/2016;Ghostbusters;$144.000.000;$128.350.574;$229.034.050
181;11/22/2002;Die Another Day;$142.000.000;$160.942.139;$431.942.139
182;7/9/2003;Pirates of the Caribbean: The Curse of the Black Pearl;$140.000.000;$305.411.224;$634.954.103
183;5/8/2009;Star Trek;$140.000.000;$257.730.019;$385.680.446
184;7/1/1998;Armageddon;$140.000.000;$201.578.182;$554.600.000
185;7/3/2002;Men in Black 2;$140.000.000;$190.418.803;$441.767.803
186;7/22/2011;Captain America: The First Avenger;$140.000.000;$176.654.505;$370.569.776
187;1/29/2016;Kung Fu Panda 3;$140.000.000;$143.528.619;$518.614.383
188;7/10/1998;Lethal Weapon 4;$140.000.000;$130.444.603;$285.400.000
189;3/27/2013;G.I. Joe: Retaliation;$140.000.000;$122.523.060;$375.740.705
190;12/5/2003;The Last Samurai;$140.000.000;$111.110.575;$456.810.575
191;12/21/2005;Fun With Dick And Jane;$140.000.000;$110.550.000;$203.018.919
192;12/12/2014;Exodus: Gods and Kings;$140.000.000;$65.014.513;$268.314.513
193;7/1/2016;The BFG;$140.000.000;$55.483.770;$199.905.224
194;2/26/2016;Gods of Egypt;$140.000.000;$31.153.464;$133.553.464
195;5/3/2002;Spider,Man;$139.000.000;$403.706.375;$821.706.375
196;3/6/2009;Watchmen;$138.000.000;$107.509.799;$184.068.357
197;7/29/2005;Stealth;$138.000.000;$32.116.746;$76.416.746
198;6/13/2008;The Incredible Hulk;$137.500.000;$134.806.913;$265.573.859
199;6/20/2003;Hulk;$137.000.000;$132.177.234;$245.075.434
200;7/11/2001;Final Fantasy: The Spirits Within;$137.000.000;$32.131.830;$85.131.830
201;11/16/2012;The Twilight Saga: Breaking Dawn, Part 2;$136.200.000;$292.324.737;$829.724.737
202;3/22/2013;The Croods;$135.000.000;$187.168.425;$573.068.425
203;12/25/2015;The Revenant;$135.000.000;$183.637.894;$532.950.503
204;11/19/1999;The World is Not Enough;$135.000.000;$126.930.660;$361.730.660
205;3/4/2011;Rango;$135.000.000;$123.257.581;$245.504.574
206;11/14/2003;Master and Commander: The Far Side of the World;$135.000.000;$93.926.386;$212.912.137
207;7/17/2013;Turbo;$135.000.000;$83.028.130;$286.896.578
208;6/3/2016;Teenage Mutant Ninja Turtles: Out of the Shadows;$135.000.000;$82.051.601;$245.623.848
209;11/18/2011;Happy Feet Two;$135.000.000;$64.006.466;$157.956.466
210;7/28/2006;Miami Vice;$135.000.000;$63.478.838;$163.818.556
211;6/29/2005;War of the Worlds;$132.000.000;$234.280.354;$606.836.535
212;11/26/2014;Penguins of Madagascar;$132.000.000;$83.350.911;$367.650.911
213;11/22/2013;The Hunger Games: Catching Fire;$130.000.000;$424.668.047;$864.868.047
214;6/4/2004;Harry Potter and the Prisoner of Azkaban;$130.000.000;$249.538.952;$796.688.549
215;8/3/2007;The Bourne Ultimatum;$130.000.000;$227.471.070;$442.161.562
216;6/6/2008;Kung Fu Panda;$130.000.000;$215.434.591;$631.910.531
217;7/17/2015;Ant,Man;$130.000.000;$180.202.163;$519.338.048
218;3/27/2015;Home;$130.000.000;$177.397.510;$386.069.390
219;10/28/2011;Puss in Boots;$130.000.000;$149.260.504;$554.987.477
220;11/5/2010;Megamind;$130.000.000;$148.415.853;$321.887.208
221;7/18/2003;Bad Boys II;$130.000.000;$138.540.870;$273.271.982
222;4/11/2014;Rio 2;$130.000.000;$131.538.435;$492.846.291
223;7/23/2010;Salt;$130.000.000;$118.311.368;$290.650.494
224;3/28/2014;Noah;$130.000.000;$101.200.044;$352.831.065
225;12/21/2011;The Adventures of Tintin;$130.000.000;$77.591.831;$373.993.951
226;5/31/2013;After Earth;$130.000.000;$60.522.097;$251.499.665
227;11/26/2008;Australia;$130.000.000;$49.554.002;$215.080.810
228;7/19/2013;R.I.P.D.;$130.000.000;$33.618.855;$79.076.678
229;11/18/2011;The Twilight Saga: Breaking Dawn, Part 1;$127.500.000;$281.287.133;$689.420.051
230;5/19/2000;Dinosaur;$127.500.000;$137.748.063;$356.148.063
231;3/3/2017;Logan;$127.000.000;$226.277.068;$615.577.068
232;12/19/2014;Night at the Museum: Secret of the Tomb;$127.000.000;$113.746.621;$356.546.621
233;7/15/2011;Harry Potter and the Deathly Hallows: Part II;$125.000.000;$381.011.219;$1.341.511.219
234;11/21/2014;The Hunger Games: Mockingjay , Part 1;$125.000.000;$337.135.885;$766.652.288
235;11/16/2001;Harry Potter and the Sorcerer’s Stone;$125.000.000;$317.575.550;$974.755.371
236;11/19/2010;Harry Potter and the Deathly Hallows: Part I;$125.000.000;$295.983.305;$960.283.305
237;5/19/2006;The Da Vinci Code;$125.000.000;$217.536.138;$767.820.459
238;5/2/2003;X2;$125.000.000;$214.949.694;$406.875.536
239;4/29/2011;Fast Five;$125.000.000;$209.837.675;$629.969.804
240;8/8/2014;Teenage Mutant Ninja Turtles;$125.000.000;$191.204.754;$485.004.754
241;12/16/2011;Sherlock Holmes: A Game of Shadows;$125.000.000;$186.848.418;$535.663.443
242;5/28/2004;The Day After Tomorrow;$125.000.000;$186.740.799;$556.319.450
243;3/31/2017;The Boss Baby;$125.000.000;$175.001.663;$492.315.964
244;4/1/2010;Clash of the Titans;$125.000.000;$163.214.888;$493.214.888
245;11/4/2016;Trolls;$125.000.000;$153.707.064;$344.780.046
246;5/19/1998;Godzilla;$125.000.000;$136.314.294;$376.000.000
247;6/8/2012;Prometheus;$125.000.000;$126.477.084;$402.448.265
248;8/10/2012;The Bourne Legacy;$125.000.000;$113.203.870;$280.355.920
249;6/20/1997;Batman & Robin;$125.000.000;$107.325.195;$238.317.814
250;8/3/2012;Total Recall;$125.000.000;$58.877.969;$211.856.088
251;12/21/2016;Assassin’s Creed;$125.000.000;$54.647.948;$240.497.948
252;1/13/2017;Monster Trucks;$125.000.000;$33.370.166;$61.681.268
253;8/27/1999;The 13th Warrior;$125.000.000;$32.698.899;$61.698.899
254;11/17/2000;How the Grinch Stole Christmas;$123.000.000;$260.044.825;$345.141.403
255;5/24/2000;Mission: Impossible 2;$120.000.000;$215.409.889;$549.588.516
256;6/30/2000;The Perfect Storm;$120.000.000;$182.618.434;$328.711.434
257;7/29/2016;Jason Bourne;$120.000.000;$162.192.920;$416.197.059
258;6/15/2007;Fantastic Four: Rise of the Silver Surfer;$120.000.000;$131.921.738;$289.480.691
259;11/21/2012;Life of Pi;$120.000.000;$124.987.022;$607.987.022
260;2/16/2007;Ghost Rider;$120.000.000;$115.802.596;$229.545.589
261;6/27/2003;Charlie's Angels: Full Throttle;$120.000.000;$100.814.328;$227.200.000
262;8/9/2013;Elysium;$120.000.000;$93.050.117;$286.192.091
263;4/19/2013;Oblivion;$120.000.000;$89.107.235;$287.916.633
264;3/24/2017;Power Rangers;$120.000.000;$85.364.450;$140.845.191
265;7/19/2002;Stuart Little 2;$120.000.000;$64.956.806;$166.000.000
266;2/12/2014;RoboCop;$120.000.000;$58.607.007;$242.981.799
267;6/11/2004;The Chronicles of Riddick;$120.000.000;$57.712.751;$107.212.751
268;8/7/2015;Fantastic Four;$120.000.000;$56.117.548;$167.977.596
269;5/9/2008;Speed Racer;$120.000.000;$43.945.766;$93.394.462
270;7/22/2005;The Island;$120.000.000;$35.818.913;$163.018.913
271;12/17/2010;How Do You Know?;$120.000.000;$30.212.620;$49.628.177
272;6/23/2010;Knight and Day;$117.000.000;$76.423.035;$258.751.370
273;5/19/1999;Star Wars Ep. I: The Phantom Menace;$115.000.000;$474.544.677;$1.027.044.677
274;5/19/2005;Star Wars Ep. III: Revenge of the Sith;$115.000.000;$380.270.577;$848.998.877
275;5/16/2002;Star Wars Ep. II: Attack of the Clones;$115.000.000;$310.676.740;$656.695.615
276;11/2/2001;Monsters, Inc.;$115.000.000;$289.423.425;$559.757.719
277;7/26/2013;The Wolverine;$115.000.000;$132.556.852;$416.456.852
278;2/7/1997;Dante's Peak;$115.000.000;$67.163.857;$178.200.000
279;4/22/2016;The Huntsman: Winter’s War;$115.000.000;$48.003.015;$165.149.302
280;6/14/2002;Windtalkers;$115.000.000;$40.914.068;$77.628.265
281;7/4/2008;Astérix aux Jeux Olympiques;$113.500.000;$999.811;$132.999.811
282;12/25/2010;Gulliver's Travels;$112.000.000;$42.779.261;$232.017.848
283;10/4/2013;Gravity;$110.000.000;$274.092.705;$695.941.797
284;12/22/2006;Night at the Museum;$110.000.000;$250.863.268;$579.446.407
285;6/10/2005;Mr. and Mrs. Smith;$110.000.000;$186.336.279;$486.124.090
286;5/29/2015;San Andreas;$110.000.000;$155.190.832;$467.151.160
287;7/29/2011;The Smurfs;$110.000.000;$142.614.158;$563.749.323
288;6/27/2007;Live Free or Die Hard;$110.000.000;$134.529.403;$382.288.147
289;3/20/2015;The Divergent Series: Insurgent;$110.000.000;$130.179.072;$295.279.072
290;12/10/2004;Ocean's Twelve;$110.000.000;$125.531.634;$362.989.076
291;12/19/1997;Tomorrow Never Dies;$110.000.000;$125.304.276;$339.504.276
292;6/28/2000;The Patriot;$110.000.000;$113.330.342;$215.300.000
293;3/7/2014;300: Rise of an Empire;$110.000.000;$106.580.051;$330.780.051
294;12/17/2004;The Aviator;$110.000.000;$102.608.827;$208.370.892
295;12/21/2016;Passengers;$110.000.000;$100.014.092;$302.211.243
296;1/14/2011;The Green Hornet;$110.000.000;$98.780.042;$229.155.503
297;9/30/2016;Miss Peregrine’s Home for Peculiar Children;$110.000.000;$87.242.834;$296.642.834
298;10/7/2011;Real Steel;$110.000.000;$85.463.309;$263.880.341
299;6/11/2010;The A,Team;$110.000.000;$77.222.099;$177.241.171
300;7/31/2013;The Smurfs 2;$110.000.000;$71.017.784;$348.547.523
301;3/18/2016;The Divergent Series: Allegiant;$110.000.000;$66.184.051;$171.484.051
302;6/12/2009;The Taking of Pelham 123;$110.000.000;$65.452.312;$152.364.370
303;11/1/2013;Ender's Game;$110.000.000;$61.737.191;$127.983.283
304;4/2/2004;Home on the Range;$110.000.000;$50.026.353;$76.482.461
305;6/13/1997;Speed 2: Cruise Control;$110.000.000;$48.097.081;$150.468.000
306;5/6/2005;Kingdom of Heaven;$110.000.000;$47.398.413;$218.853.353
307;3/31/2017;Ghost in the Shell;$110.000.000;$40.563.557;$167.918.847
308;6/16/2004;Around the World in 80 Days;$110.000.000;$24.004.159;$72.004.159
309;12/19/2001;The Lord of the Rings: The Fellowship of the Ring;$109.000.000;$315.544.750;$887.210.985
310;11/21/2003;The Cat in the Hat;$109.000.000;$101.018.283;$133.818.283
311;12/25/2001;Ali;$109.000.000;$58.183.966;$87.683.966
312;10/2/2015;The Martian;$108.000.000;$228.433.663;$663.851.905
313;7/16/2004;I, Robot;$105.000.000;$144.801.023;$348.629.585
314;12/17/1999;Stuart Little;$105.000.000;$140.015.224;$298.815.224
315;11/25/2009;The Princess and the Frog;$105.000.000;$104.400.899;$270.997.378
316;3/7/2008;10,000 B.C.;$105.000.000;$94.784.201;$269.065.678
317;7/22/2016;Ice Age: Collision Course;$105.000.000;$64.063.008;$403.841.637
318;4/27/2001;Town & Country;$105.000.000;$6.712.451;$10.364.769
319;9/22/2017;Kingsman: The Golden Circle;$104.000.000;$98.614.052;$378.779.249
320;6/9/2000;Gone in 60 Seconds;$103.300.000;$101.643.008;$232.643.008
321;5/5/2000;Gladiator;$103.000.000;$187.683.805;$457.683.805
322;5/23/2013;The Hangover 3;$103.000.000;$112.200.072;$362.000.072
323;3/9/2018;A Wrinkle in Time;$103.000.000;$0;$0
324;7/1/2009;Public Enemies;$102.500.000;$97.104.620;$212.282.709
325;11/17/2006;Casino Royale;$102.000.000;$167.365.000;$594.420.283
326;6/21/2002;Minority Report;$102.000.000;$132.024.714;$358.824.714
327;10/26/2012;Cloud Atlas;$102.000.000;$27.108.272;$130.673.154
328;11/15/2002;Harry Potter and the Chamber of Secrets;$100.000.000;$261.987.880;$878.979.634
329;7/2/1991;Terminator 2: Judgment Day;$100.000.000;$203.464.105;$515.419.827
330;6/16/1995;Batman Forever;$100.000.000;$184.031.112;$336.529.144
331;7/27/2001;Planet of the Apes;$100.000.000;$180.011.740;$362.211.740
332;11/19/2004;National Treasure;$100.000.000;$173.005.002;$331.323.410
333;12/25/2012;Django Unchained;$100.000.000;$162.805.434;$449.948.323
334;12/22/2010;Little Fockers;$100.000.000;$148.438.600;$310.650.574
335;7/15/1994;True Lies;$100.000.000;$146.282.411;$365.300.000
336;11/2/2007;American Gangster;$100.000.000;$130.164.645;$267.985.456
337;9/18/2009;Cloudy with a Chance of Meatballs;$100.000.000;$124.870.275;$236.827.677
338;8/6/2010;The Other Guys;$100.000.000;$119.219.978;$170.936.470
339;12/17/2004;Lemony Snicket's A Series of Unfortunate Events;$100.000.000;$118.627.117;$212.956.024
340;12/25/2013;The Wolf of Wall Street;$100.000.000;$116.900.694;$389.870.414
341;5/24/2013;Epic;$100.000.000;$107.518.682;$262.794.441
342;6/21/1996;Eraser;$100.000.000;$101.295.562;$234.400.000
343;6/21/1996;The Hunchback of Notre Dame;$100.000.000;$100.138.851;$325.500.000
344;12/15/2000;The Emperor's New Groove;$100.000.000;$89.296.573;$169.296.573
345;8/17/2012;The Expendables 2;$100.000.000;$85.028.192;$311.979.256
